Model,Task,Difficulty,Target_Params,Actual_Params,LR,Seed,Category,Best_Val_Score,Test_Score
GRU,simple_copy,large,1000,924,0.01,0,classification,0.9490066666666667,0.94994
GRU,simple_copy,large,1000,924,0.01,1,classification,0.9488166666666666,0.949542
GRU,simple_copy,large,1000,924,0.01,2,classification,0.9496333333333333,0.949972
GRU,simple_copy,large,1000,924,0.01,3,classification,0.9493266666666667,0.9499333333333333
GRU,simple_copy,large,1000,924,0.01,4,classification,0.9492233333333333,0.949868
GRU,simple_copy,large,1000,924,0.01,5,classification,0.9494166666666667,0.9500153333333333
GRU,simple_copy,large,1000,924,0.01,6,classification,0.9264066666666667,0.92687
GRU,simple_copy,large,1000,924,0.01,7,classification,0.9493466666666667,0.9498986666666667
GRU,simple_copy,large,1000,924,0.01,8,classification,0.9490866666666666,0.950064
GRU,simple_copy,large,1000,924,0.01,9,classification,0.9495266666666666,0.9498073333333333
GRU,simple_copy,large,1000,924,0.003,0,classification,0.94898,0.949956
GRU,simple_copy,large,1000,924,0.003,1,classification,0.9493366666666667,0.9501913333333334
GRU,simple_copy,large,1000,924,0.003,2,classification,0.94941,0.9498806666666667
GRU,simple_copy,large,1000,924,0.003,3,classification,0.94931,0.9498453333333333
GRU,simple_copy,large,1000,924,0.003,4,classification,0.9493366666666667,0.9499153333333333
GRU,simple_copy,large,1000,924,0.003,5,classification,0.9494166666666667,0.9500153333333333
GRU,simple_copy,large,1000,924,0.003,6,classification,0.94917,0.95005
GRU,simple_copy,large,1000,924,0.003,7,classification,0.94934,0.9499066666666667
GRU,simple_copy,large,1000,924,0.003,8,classification,0.94904,0.950096
GRU,simple_copy,large,1000,924,0.003,9,classification,0.94965,0.9500753333333334
GRU,simple_copy,large,1000,924,0.001,0,classification,0.94919,0.9499786666666666
GRU,simple_copy,large,1000,924,0.001,1,classification,0.9493366666666667,0.9501913333333334
GRU,simple_copy,large,1000,924,0.001,2,classification,0.9494366666666667,0.950004
GRU,simple_copy,large,1000,924,0.001,3,classification,0.9493166666666667,0.94985
GRU,simple_copy,large,1000,924,0.001,4,classification,0.94935,0.9498800000000001
GRU,simple_copy,large,1000,924,0.001,5,classification,0.9493766666666666,0.9500213333333334
GRU,simple_copy,large,1000,924,0.001,6,classification,0.9491333333333334,0.9501293333333334
GRU,simple_copy,large,1000,924,0.001,7,classification,0.94956,0.950094
GRU,simple_copy,large,1000,924,0.001,8,classification,0.94904,0.950096
GRU,simple_copy,large,1000,924,0.001,9,classification,0.9495966666666666,0.949804
GRU,simple_copy,large,1000,924,0.0003,0,classification,0.94951,0.9499133333333334
GRU,simple_copy,large,1000,924,0.0003,1,classification,0.9498733333333333,0.9498633333333333
GRU,simple_copy,large,1000,924,0.0003,2,classification,0.9494466666666667,0.9500153333333333
GRU,simple_copy,large,1000,924,0.0003,3,classification,0.9492733333333333,0.949858
GRU,simple_copy,large,1000,924,0.0003,4,classification,0.9493733333333333,0.9499306666666667
GRU,simple_copy,large,1000,924,0.0003,5,classification,0.9493566666666666,0.9500426666666667
GRU,simple_copy,large,1000,924,0.0003,6,classification,0.9494766666666666,0.9498553333333334
GRU,simple_copy,large,1000,924,0.0003,7,classification,0.9496533333333333,0.9498993333333333
GRU,simple_copy,large,1000,924,0.0003,8,classification,0.94897,0.9500646666666667
GRU,simple_copy,large,1000,924,0.0003,9,classification,0.94949,0.9498986666666667
GRU,simple_copy,large,1000,924,0.0001,0,classification,0.94961,0.9499653333333333
GRU,simple_copy,large,1000,924,0.0001,1,classification,0.9497933333333334,0.950136
GRU,simple_copy,large,1000,924,0.0001,2,classification,0.9494666666666667,0.9500386666666667
GRU,simple_copy,large,1000,924,0.0001,3,classification,0.9495166666666667,0.9498613333333333
GRU,simple_copy,large,1000,924,0.0001,4,classification,0.9496566666666667,0.9498806666666667
GRU,simple_copy,large,1000,924,0.0001,5,classification,0.94944,0.9499373333333333
GRU,simple_copy,large,1000,924,0.0001,6,classification,0.9499366666666667,0.9496493333333333
GRU,simple_copy,large,1000,924,0.0001,7,classification,0.9497566666666667,0.9497606666666667
GRU,simple_copy,large,1000,924,0.0001,8,classification,0.9489666666666666,0.950104
GRU,simple_copy,large,1000,924,0.0001,9,classification,0.9495933333333333,0.9502806666666667
GRU,simple_copy,large,10000,9744,0.01,0,classification,0.88692,0.8863146666666667
GRU,simple_copy,large,10000,9744,0.01,1,classification,0.8932066666666667,0.8939473333333333
GRU,simple_copy,large,10000,9744,0.01,2,classification,0.9477433333333334,0.9478893333333334
GRU,simple_copy,large,10000,9744,0.01,3,classification,0.9496733333333334,0.950188
GRU,simple_copy,large,10000,9744,0.01,4,classification,0.9479133333333334,0.9484433333333333
GRU,simple_copy,large,10000,9744,0.01,5,classification,0.9414266666666666,0.9418013333333334
GRU,simple_copy,large,10000,9744,0.01,6,classification,0.9465933333333333,0.946972
GRU,simple_copy,large,10000,9744,0.01,7,classification,0.94523,0.945452
GRU,simple_copy,large,10000,9744,0.01,8,classification,0.9490833333333333,0.950016
GRU,simple_copy,large,10000,9744,0.01,9,classification,0.94323,0.94215
GRU,simple_copy,large,10000,9744,0.003,0,classification,0.94892,0.9501673333333334
GRU,simple_copy,large,10000,9744,0.003,1,classification,0.9492266666666667,0.9498613333333333
GRU,simple_copy,large,10000,9744,0.003,2,classification,0.9494066666666666,0.9501973333333333
GRU,simple_copy,large,10000,9744,0.003,3,classification,0.94954,0.9501993333333333
GRU,simple_copy,large,10000,9744,0.003,4,classification,0.94933,0.949884
GRU,simple_copy,large,10000,9744,0.003,5,classification,0.9494166666666667,0.9500153333333333
GRU,simple_copy,large,10000,9744,0.003,6,classification,0.9491333333333334,0.950118
GRU,simple_copy,large,10000,9744,0.003,7,classification,0.94949,0.950076
GRU,simple_copy,large,10000,9744,0.003,8,classification,0.94896,0.9501266666666667
GRU,simple_copy,large,10000,9744,0.003,9,classification,0.9494266666666666,0.9499053333333334
GRU,simple_copy,large,10000,9744,0.001,0,classification,0.94903,0.950168
GRU,simple_copy,large,10000,9744,0.001,1,classification,0.9492266666666667,0.9498613333333333
GRU,simple_copy,large,10000,9744,0.001,2,classification,0.94938,0.949812
GRU,simple_copy,large,10000,9744,0.001,3,classification,0.9495666666666667,0.950182
GRU,simple_copy,large,10000,9744,0.001,4,classification,0.9492,0.9498846666666667
GRU,simple_copy,large,10000,9744,0.001,5,classification,0.9494166666666667,0.9500153333333333
GRU,simple_copy,large,10000,9744,0.001,6,classification,0.9491333333333334,0.9501333333333334
GRU,simple_copy,large,10000,9744,0.001,7,classification,0.94956,0.950094
GRU,simple_copy,large,10000,9744,0.001,8,classification,0.9489766666666667,0.9500713333333334
GRU,simple_copy,large,10000,9744,0.001,9,classification,0.9494466666666667,0.9502253333333334
GRU,simple_copy,large,10000,9744,0.0003,0,classification,0.9490366666666666,0.9499286666666666
GRU,simple_copy,large,10000,9744,0.0003,1,classification,0.9497333333333333,0.950028
GRU,simple_copy,large,10000,9744,0.0003,2,classification,0.94953,0.9497913333333333
GRU,simple_copy,large,10000,9744,0.0003,3,classification,0.9495666666666667,0.950182
GRU,simple_copy,large,10000,9744,0.0003,4,classification,0.94935,0.9498800000000001
GRU,simple_copy,large,10000,9744,0.0003,5,classification,0.9494033333333334,0.9503266666666667
GRU,simple_copy,large,10000,9744,0.0003,6,classification,0.949,0.9498286666666667
GRU,simple_copy,large,10000,9744,0.0003,7,classification,0.94964,0.9499173333333333
GRU,simple_copy,large,10000,9744,0.0003,8,classification,0.9489866666666666,0.9501273333333333
GRU,simple_copy,large,10000,9744,0.0003,9,classification,0.94968,0.950184
GRU,simple_copy,large,10000,9744,0.0001,0,classification,0.9495566666666667,0.9499873333333333
GRU,simple_copy,large,10000,9744,0.0001,1,classification,0.9497233333333334,0.949906
GRU,simple_copy,large,10000,9744,0.0001,2,classification,0.9495366666666667,0.9499586666666666
GRU,simple_copy,large,10000,9744,0.0001,3,classification,0.9492566666666666,0.949858
GRU,simple_copy,large,10000,9744,0.0001,4,classification,0.94979,0.9497753333333333
GRU,simple_copy,large,10000,9744,0.0001,5,classification,0.9495433333333333,0.9502633333333333
GRU,simple_copy,large,10000,9744,0.0001,6,classification,0.94911,0.949842
GRU,simple_copy,large,10000,9744,0.0001,7,classification,0.9495866666666667,0.9498746666666666
GRU,simple_copy,large,10000,9744,0.0001,8,classification,0.94909,0.9500566666666667
GRU,simple_copy,large,10000,9744,0.0001,9,classification,0.94957,0.950236
GRU,simple_copy,large,100000,99644,0.01,0,classification,0.9492,0.950062
GRU,simple_copy,large,100000,99644,0.01,1,classification,0.94832,0.948624
GRU,simple_copy,large,100000,99644,0.01,2,classification,0.94148,0.941356
GRU,simple_copy,large,100000,99644,0.01,3,classification,0.94903,0.9499713333333333
GRU,simple_copy,large,100000,99644,0.01,4,classification,0.9492933333333333,0.9498586666666666
GRU,simple_copy,large,100000,99644,0.01,5,classification,0.9488633333333334,0.949724
GRU,simple_copy,large,100000,99644,0.01,6,classification,0.8847266666666667,0.8840946666666667
GRU,simple_copy,large,100000,99644,0.01,7,classification,0.9478433333333334,0.9489446666666667
GRU,simple_copy,large,100000,99644,0.01,8,classification,0.9490833333333333,0.950016
GRU,simple_copy,large,100000,99644,0.01,9,classification,0.8587666666666667,0.8583246666666666
GRU,simple_copy,large,100000,99644,0.003,0,classification,0.94903,0.9501586666666667
GRU,simple_copy,large,100000,99644,0.003,1,classification,0.94935,0.95022
GRU,simple_copy,large,100000,99644,0.003,2,classification,0.9495666666666667,0.9500453333333333
GRU,simple_copy,large,100000,99644,0.003,3,classification,0.9493199999999999,0.9500006666666667
GRU,simple_copy,large,100000,99644,0.003,4,classification,0.94929,0.9499186666666667
GRU,simple_copy,large,100000,99644,0.003,5,classification,0.7458333333333333,0.7456273333333333
GRU,simple_copy,large,100000,99644,0.003,6,classification,0.8405966666666667,0.8403326666666666
GRU,simple_copy,large,100000,99644,0.003,7,classification,0.94967,0.9498326666666667
GRU,simple_copy,large,100000,99644,0.003,8,classification,0.9490333333333333,0.950062
GRU,simple_copy,large,100000,99644,0.003,9,classification,0.9393266666666666,0.9397266666666667
GRU,simple_copy,large,100000,99644,0.001,0,classification,0.94905,0.9501
GRU,simple_copy,large,100000,99644,0.001,1,classification,0.94935,0.9498613333333333
GRU,simple_copy,large,100000,99644,0.001,2,classification,0.94947,0.9498726666666667
GRU,simple_copy,large,100000,99644,0.001,3,classification,0.94917,0.9497926666666666
GRU,simple_copy,large,100000,99644,0.001,4,classification,0.94935,0.9498800000000001
GRU,simple_copy,large,100000,99644,0.001,5,classification,0.9495533333333334,0.9502773333333333
GRU,simple_copy,large,100000,99644,0.001,6,classification,0.94942,0.949948
GRU,simple_copy,large,100000,99644,0.001,7,classification,0.94933,0.9498513333333334
GRU,simple_copy,large,100000,99644,0.001,8,classification,0.9497233333333334,0.9500333333333333
GRU,simple_copy,large,100000,99644,0.001,9,classification,0.9495066666666667,0.949852
GRU,simple_copy,large,100000,99644,0.0003,0,classification,0.9490366666666666,0.950156
GRU,simple_copy,large,100000,99644,0.0003,1,classification,0.94938,0.949874
GRU,simple_copy,large,100000,99644,0.0003,2,classification,0.94933,0.9498566666666667
GRU,simple_copy,large,100000,99644,0.0003,3,classification,0.9496133333333333,0.9498373333333333
GRU,simple_copy,large,100000,99644,0.0003,4,classification,0.94935,0.9498800000000001
GRU,simple_copy,large,100000,99644,0.0003,5,classification,0.9495,0.9499946666666667
GRU,simple_copy,large,100000,99644,0.0003,6,classification,0.9496066666666667,0.9500673333333334
GRU,simple_copy,large,100000,99644,0.0003,7,classification,0.94931,0.949846
GRU,simple_copy,large,100000,99644,0.0003,8,classification,0.9490066666666667,0.950094
GRU,simple_copy,large,100000,99644,0.0003,9,classification,0.9495066666666667,0.949852
GRU,simple_copy,large,100000,99644,0.0001,0,classification,0.9496,0.95008
GRU,simple_copy,large,100000,99644,0.0001,1,classification,0.94935,0.9498613333333333
GRU,simple_copy,large,100000,99644,0.0001,2,classification,0.9494566666666666,0.9500266666666667
GRU,simple_copy,large,100000,99644,0.0001,3,classification,0.9496133333333333,0.9498373333333333
GRU,simple_copy,large,100000,99644,0.0001,4,classification,0.9492766666666667,0.9499346666666667
GRU,simple_copy,large,100000,99644,0.0001,5,classification,0.9494166666666667,0.9500153333333333
GRU,simple_copy,large,100000,99644,0.0001,6,classification,0.94944,0.9500213333333334
GRU,simple_copy,large,100000,99644,0.0001,7,classification,0.9496733333333334,0.949894
GRU,simple_copy,large,100000,99644,0.0001,8,classification,0.9490266666666667,0.950104
GRU,simple_copy,large,100000,99644,0.0001,9,classification,0.9494933333333333,0.9498233333333334
GRU,selective_copy,large,1000,948,0.01,0,classification,0.9485166666666667,0.9499366666666667
GRU,selective_copy,large,1000,948,0.01,1,classification,0.9498,0.9502433333333333
GRU,selective_copy,large,1000,948,0.01,2,classification,0.9483333333333334,0.9494066666666666
GRU,selective_copy,large,1000,948,0.01,3,classification,0.9485833333333333,0.9505966666666666
GRU,selective_copy,large,1000,948,0.01,4,classification,0.9483166666666667,0.94997
GRU,selective_copy,large,1000,948,0.01,5,classification,0.94885,0.94955
GRU,selective_copy,large,1000,948,0.01,6,classification,0.9485833333333333,0.94987
GRU,selective_copy,large,1000,948,0.01,7,classification,0.94825,0.9502733333333333
GRU,selective_copy,large,1000,948,0.01,8,classification,0.94715,0.9478566666666667
GRU,selective_copy,large,1000,948,0.01,9,classification,0.94835,0.9508066666666667
GRU,selective_copy,large,1000,948,0.003,0,classification,0.9485833333333333,0.9497433333333334
GRU,selective_copy,large,1000,948,0.003,1,classification,0.8859833333333333,0.8861600000000001
GRU,selective_copy,large,1000,948,0.003,2,classification,0.94825,0.94961
GRU,selective_copy,large,1000,948,0.003,3,classification,0.9487833333333333,0.95079
GRU,selective_copy,large,1000,948,0.003,4,classification,0.9481666666666667,0.9499266666666667
GRU,selective_copy,large,1000,948,0.003,5,classification,0.9487833333333333,0.95033
GRU,selective_copy,large,1000,948,0.003,6,classification,0.8913833333333333,0.8917733333333333
GRU,selective_copy,large,1000,948,0.003,7,classification,0.94825,0.9502733333333333
